size_bucket,count,total_gb,avg_bw_mbps,total_time_s
>100MB,2138,395.071684608,12263.020301008271,35.52061622
1-100MB,4176,222.447009792,10566.390040102488,24.175660484
10KB-1MB,8900,0.144490624,7685.056745062311,0.020065288
<10KB,3588,0.002456308,248.95824998230833,0.005722649
