context,h2d_count,total_h2d_gb,avg_h2d_bw_mbps,min_h2d_bw_mbps,max_h2d_bw_mbps
during_nccl,7475,5253.3448448,7907.249498328533,7752.582190589379,53068.11290945057
no_nccl,4709,513.7971968,12447.039442114636,5577.245932708557,55374.16285405015
