deviceId,time_bucket_s,transfers,total_mb,avg_bw_mbps
0,38,8,1275.068416,10314.272212321668
0,39,7,1040.187392,10670.539028460464
0,40,8,1275.068416,10563.997876837946
0,41,5,771.751936,10565.987872290802
0,42,8,1207.959552,10423.257376874642
0,43,7,1107.296256,10485.632145410133
0,44,7,1040.187392,10738.405587261677
0,45,8,1275.068416,10289.749224834313
0,46,6,973.078528,10488.800489603162
0,47,9,1342.17728,10665.533957105456
0,48,5,771.751936,10433.70124051641
0,49,7,1040.187392,10709.692432903268
0,50,8,1275.068416,10596.209473717618
0,51,7,1040.187392,10346.155872279434
0,52,8,1275.068416,10789.518345053766
0,53,5,771.751936,10184.39581594327
0,54,8,5240.782848,10370.439744256284
0,102,17,891.2896,10983.089674131528
0,103,23,1562.37824,11158.4107211549
0,104,25,1488.97792,11205.264351161615
0,105,19,1530.92096,11169.671181210631
0,106,24,1525.67808,11237.407112666464
0,107,19,1530.92096,11092.621042411558
0,108,19,1530.92096,11136.983086478007
0,109,24,1465.38496,11704.185355304378
0,110,9,650.11712,11055.7320716127
0,111,7,456.13056,10805.414626959244
0,112,13,770.70336,11047.256810473398
0,113,23,1562.37824,11163.478285104111
0,114,19,1441.792,11046.021209994793
0,115,22,1720.32,11696.953123403728
0,116,28,2181.03808,11020.002975208643
0,117,25,1756.3648,11214.166507569606
0,118,28,1735.39328,11131.717816365737
0,119,25,1756.3648,10988.63821179348
0,120,25,2061.1072,12153.56099309597
0,121,13,948.96128,12106.970425951062
0,164,30,1751.12192,11351.598538926211
0,165,32,2212.49536,11345.610708272145
0,166,37,2207.25248,11219.701590365396
0,167,28,2181.03808,11168.231450113875
0,168,28,2448.42496,11166.78431603511
0,169,35,2270.16704,11412.793315122099
0,170,37,2246.57408,11766.651603927476
0,171,32,2212.49536,11911.468077482525
0,172,25,2323.2512,13031.423037316434
0,173,35,2191.52384,12134.266009329645
0,174,32,2301.62432,12093.499967554471
0,175,28,2270.16704,11918.441733370759
0,176,28,1951.00672,13115.00405232388
0,191,1,702.788608,55374.16285405015
0,206,1,702.788608,55299.82053233471
0,235,1,4200.595456,13953.475456374494
0,236,2,268.435456,15704.858625053505
0,242,36,5570.035712,15265.505216891304
0,243,83,16884.170752,17300.736596904342
0,244,62,9529.458688,15513.82310618914
0,245,58,8992.587776,17505.960057126373
0,269,1,702.788608,32916.833158223686
0,295,2,1405.577216,24141.31003818179
0,296,4,2811.154432,7815.114415994149
0,297,3,2108.365824,7796.896403892887
0,298,4,2811.154432,7892.109269417452
0,299,3,2108.365824,7832.542144305848
0,300,4,2811.154432,7885.639825650075
0,301,3,2108.365824,7833.488682361648
0,302,4,2811.154432,7940.654419541854
0,303,3,2108.365824,7822.029736111231
0,304,4,2811.154432,7840.595289159552
0,305,3,2108.365824,7896.1040369987095
0,306,2,1405.577216,7854.999794923753
0,307,4,2811.154432,7816.605003591347
0,308,4,2811.154432,7827.293481686917
0,309,3,2108.365824,7853.739985888646
0,310,4,2811.154432,7861.879845266022
0,311,3,2108.365824,7806.941876957414
0,312,4,2811.154432,8021.769887679111
0,313,3,2108.365824,7794.649064084966
0,314,4,2811.154432,7835.63530517834
0,315,3,2108.365824,7785.436920286247
0,316,4,2811.154432,7792.0306074099135
0,317,2,1405.577216,7816.345817391575
0,318,3,2108.365824,10059.46328660915
0,319,3,2108.365824,7809.654168176493
0,320,4,2811.154432,7813.672939203477
0,321,3,2108.365824,7804.295449662582
0,322,4,2811.154432,7866.820728098257
0,323,3,2108.365824,7846.444556224516
0,324,4,2811.154432,7828.112387487617
0,325,3,2108.365824,7895.184486642315
0,326,4,2811.154432,7844.789372949367
0,327,3,2108.365824,7862.958980780313
0,328,4,2811.154432,7878.151260621282
0,329,2,1405.577216,7939.5469143012215
0,330,4,2811.154432,7829.654886946746
0,331,4,2811.154432,7898.050961915675
0,332,3,2108.365824,7979.503661782968
0,333,4,2811.154432,7818.018897134932
0,334,3,2108.365824,7916.757461039432
0,335,4,2811.154432,7938.862657741593
0,336,3,2108.365824,7851.839741478175
0,337,4,2811.154432,7841.144433923359
0,338,3,2108.365824,7895.9606600457
0,339,4,2811.154432,7843.036743557055
0,340,2,1405.577216,7798.218427751381
0,341,4,2811.154432,7866.262527204557
0,342,3,2108.365824,7854.5963445280295
0,343,4,2811.154432,7795.328771535783
0,344,3,2108.365824,7896.327392776483
0,345,4,2811.154432,7972.753103451077
0,346,3,2108.365824,7787.11741026433
0,347,4,2811.154432,7806.676061440126
0,348,3,2108.365824,7970.708448866991
0,349,4,2811.154432,7883.804774564735
0,350,3,2108.365824,7812.438437465488
0,351,4,2811.154432,8019.683141441692
0,352,2,1405.577216,7803.818854463092
0,353,4,2811.154432,7801.435925753635
0,354,3,2108.365824,7831.090752111951
0,355,4,2811.154432,7883.558644027098
0,356,3,2108.365824,7850.729065771062
0,357,4,2811.154432,7800.6346049766325
0,358,3,2108.365824,7907.118488469936
0,359,4,2811.154432,7821.781825033302
0,360,3,2108.365824,7840.611042832505
0,361,4,2811.154432,7942.023850245426
0,362,3,2108.365824,8027.809723680333
0,363,3,2108.365824,7889.125541818168
0,364,3,2108.365824,7975.335312445896
0,365,4,2811.154432,7971.897053683532
0,366,3,2108.365824,7846.238039989495
0,367,4,2811.154432,7942.626069487951
0,368,3,2108.365824,7839.2590836565105
0,369,4,2811.154432,7925.048404167549
0,370,3,2108.365824,7863.200264801311
0,371,4,2811.154432,7851.71001075807
0,372,3,2108.365824,7922.270453219348
0,373,4,2811.154432,8105.245064064413
0,374,3,2108.365824,7822.860839377288
0,375,3,2108.365824,7789.658299567937
0,376,4,2811.154432,7809.55430212705
0,377,3,2108.365824,7866.232056189161
0,378,4,2811.154432,7803.457522138699
0,379,3,2108.365824,7808.155627928162
0,380,4,2811.154432,7886.922343971877
