name,param: op_shape,param: dtype_in_out,param: stride_input,param: stride_output,param: num_channels,param: has_bias,param: is_affine,param: is_training,GFLOPS_first,Data Moved (MB)_first,FLOPS/Byte_first,TB/s_mean,TB/s_median,TB/s_std,TB/s_min,TB/s_max,TFLOPS/s_mean,TFLOPS/s_median,TFLOPS/s_std,TFLOPS/s_min,TFLOPS/s_max,process_name_first,process_label_first,thread_name_first,Compute Spec,kernel_details__summarize_kernel_stats,trunc_kernel_details,Input Dims_first,Input type_first,Input Strides_first,Concrete Inputs_first,Kernel Time (µs)_mean,Kernel Time (µs)_median,Kernel Time (µs)_std,Kernel Time (µs)_min,Kernel Time (µs)_max,Kernel Time (µs)_sum,name_count,UID_first
aten::layer_norm,"(1, 21600, 5120)","('float', None)","(110592000, 1, 21600)",,5120,True,True,True,0.55299072,843.8671875,0.6249479238994584,,,,,,,,,,,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,[],,"[[1, 21600, 5120], [], [], [], [], []]","['float', 'ScalarList', '', '', 'Scalar', 'Scalar']","[[110592000, 1, 21600], [], [], [], [], []]","['', '[5120]', '', '', '9.9999999999999995e-07', 'True']",0.0,0.0,0.0,0,0,0,14,41626
aten::native_layer_norm,"(1, 21600, 5120)","('float', None)","(110592000, 1, 21600)",,5120,True,True,True,0.55299072,843.8671875,0.6249479238994584,,,,,,,,,,,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,[],,"[[1, 21600, 5120], [], [], [], []]","['float', 'ScalarList', '', '', 'Scalar']","[[110592000, 1, 21600], [], [], [], []]","['', '[5120]', '', '', '9.9999999999999995e-07']",0.0,0.0,0.0,0,0,0,7,41628
