name,total_direct_kernel_time_sum,Count,Categories,total_direct_kernel_time_ms,Percentage (%),Cumulative Percentage (%)
triton_tem_fused_addmm_silu_t_3,9149.05859375,54,{'triton'},9.14905859375,0.0022393279522668784,99.98061004937801
triton_poi_fused__to_copy__unsafe_view_clone_permute_view_8,9110.6083984375,2160,{'triton'},9.1106083984375,0.0022299168640930395,99.98283996624211
aten::gather,8408.9111328125,50,{'other'},8.4089111328125,0.0020581691061306276,99.98489813534825
aten::_local_scalar_dense,7136.1865234375,4331,{'other'},7.1361865234375,0.0017466564227100255,99.98664479177096
triton_poi_fused__to_copy_add_0,6619.123046875,2796,{'triton'},6.619123046875,0.001620099719165283,99.98826489149012
triton_poi_fused_arange_0,5013.365234375,2796,{'triton'},5.013365234375,0.0012270736698449102,99.98949196515996
triton_poi_fused_addmm_gelu_view_5,4794.7001953125,902,{'triton'},4.7947001953125,0.0011735531104191909,99.99066551827038
triton_poi_fused_zeros_7,4409.755859375,2584,{'triton'},4.409755859375,0.0010793339508522685,99.99174485222123
triton_poi_fused__to_copy_arange_copy_cos_div_mul_pow_reciprocal_repeat_slice_unsqueeze_view_0,3956.6279296875,54,{'triton'},3.9566279296875,0.0009684261423051451,99.99271327836354
aten::_softmax,3798.59375,48,{'other'},3.79859375,0.0009297456209857671,99.99364302398452
triton_poi_fused__to_copy_arange_copy_div_mul_pow_reciprocal_repeat_sin_slice_unsqueeze_view_1,3755.8662109375,54,{'triton'},3.7558662109375,0.0009192876081122247,99.99456231159263
aten::masked_fill_,3579.396484375,48,{'elementwise'},3.579396484375,0.000876094793532345,99.99543840638616
aten::clamp_min,3427.9404296875,720,{'elementwise'},3.4279404296875,0.0008390243372305926,99.99627743072338
triton_per_fused__to_copy_addmm_arange_cat_cos_div_exp_mul_silu_sin_t_unsqueeze_1,3424.150390625,690,{'triton'},3.424150390625,0.0008380966854590064,99.99711552740884
aten::sub,2976.2734375,930,{'elementwise'},2.9762734375,0.0007284741084439159,99.99784400151728
triton_tem_fused_addmm_silu_t_2,2351.7705078125,54,{'triton'},2.3517705078125,0.000575620473024299,99.99841962199031
aten::clamp,2236.578125,2,{'elementwise'},2.236578125,0.0005474259303752362,99.99896704792069
aten::pow,1058.1201171875,48,{'elementwise'},1.0581201171875,0.00025898598538788857,99.99922603390607
aten::tanh,693.958984375,48,{'elementwise'},0.693958984375,0.00016985373254678436,99.99939588763861
aten::log,686.328125,360,{'elementwise'},0.686328125,0.00016798599976060145,99.99956387363838
triton_poi_fused__to_copy_4,354.4384765625,54,{'triton'},0.3544384765625,8.67525308524637e-05,99.99965062616923
aten::expm1,208.0322265625,106,{'elementwise'},0.2080322265625,5.091806715851184e-05,99.99970154423639
aten::arange,149.95703125,96,{'other'},0.14995703125,3.6703554609047975e-05,99.999738247791
aten::where,134.046875,48,{'elementwise'},0.134046875,3.2809377164398404e-05,99.99977105716816
aten::minimum,129.666015625,48,{'elementwise'},0.129666015625,3.173711593086673e-05,99.9998027942841
aten::eq,124.5185546875,50,{'elementwise'},0.1245185546875,3.0477220932662223e-05,99.99983327150503
triton_poi_fused__to_copy_addmm_arange_cat_cos_div_exp_mul_sin_unsqueeze_0,119.5166015625,54,{'triton'},0.1195166015625,2.9252940496159945e-05,99.99986252444552
aten::abs,116.517578125,48,{'elementwise'},0.116517578125,2.8518898086847467e-05,99.99989104334361
aten::gt,113.958984375,50,{'elementwise'},0.113958984375,2.7892655458257864e-05,99.99991893599906
aten::lt,106.142578125,48,{'elementwise'},0.106142578125,2.5979508130307016e-05,99.99994491550719
aten::neg,84.861328125,53,{'elementwise'},0.084861328125,2.0770699213427354e-05,99.9999656862064
aten::any,42.4638671875,7,"{'other', 'reduce'}",0.0424638671875,1.0393476419451097e-05,99.99997607968281
aten::ne,30.111328125,9,{'elementwise'},0.030111328125,7.370063057225933e-06,99.99998344974587
aten::sum,29.6953125,4,"{'other', 'reduce'}",0.0296953125,7.26823887410411e-06,99.99999071798474
aten::normal_,19.8720703125,1,{'elementwise'},0.0198720703125,4.863897423347294e-06,99.99999558188216
cudaMemcpyAsync,18.05078125,20,{'other'},0.01805078125,4.418117842309273e-06,100.0
