op category,Count,total_direct_kernel_time_ms,Percentage (%),Cumulative Percentage (%)
other,41399,322746.61282910156,78.99561514464291,78.99561514464291
GEMM,22098,53225.30923925781,13.027452117198168,92.02306726184108
triton,82876,19714.0817421875,4.825228065400331,96.8482953272414
CONV_fwd,911,6800.424466796875,1.6644751413200907,98.5127704685615
elementwise,38330,5877.226681640625,1.4385128103778093,99.95128327893931
reduce,726,199.03834765625,0.04871672106069282,100.00000000000001
