Parent op category,Parent cpu_op,Kernel name,Kernel stream,Kernel duration (µs)_sum,Kernel duration (µs)_count,Kernel duration (µs)_mean,Kernel duration (µs)_min,Kernel duration (µs)_max,Percent of kernels time (%),Percent of total time (%)
elementwise,aten::cat,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",7,721783.846,2158,334.4688813716404,2.879,1800.091,0.12418844221449539,0.11288604291346685
triton,triton_poi_fused__unsafe_view_clone_permute_view_10,triton_poi_fused__unsafe_view_clone_permute_view_10,7,670632.742,2768,242.28061488439306,235.138,287.555,0.11538750276632763,0.10488607761469344
other,fuse_scale_shift_kernel_blc_opt_3,fuse_scale_shift_kernel_blc_opt,7,623030.87,2160,288.4402175925926,287.077,289.924,0.10719723588388785,0.09744120752632442
other,quant_per_block_int8_kernel_1,quant_per_block_int8_kernel,7,563077.999,4320,130.34212939814813,4.768,362.341,0.09688188496956912,0.08806465746081969
triton,triton_poi_fused__unsafe_view_clone_mean_permute_sub_view_4,triton_poi_fused__unsafe_view_clone_mean_permute_sub_view_4,7,550600.239,2160,254.90751805555553,240.834,474.632,0.0947349907361862,0.08611315223023029
elementwise,aten::div,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1})",7,532850.375,771,691.1159208819714,5.985,2407.748,0.09168099060596002,0.08333709687748665
triton,triton_poi_fused_all_to_all_single_clone_empty_like_permute_view_1,triton_poi_fused_all_to_all_single_clone_empty_like_permute_view_1,7,527517.898,2160,244.2212490740741,241.604,247.907,0.09076349707178827,0.08250310449764463
triton,triton_poi_fused__unsafe_view_clone_permute_view_4,triton_poi_fused__unsafe_view_clone_permute_view_4,7,526399.598,2160,243.7035175925926,234.756,295.717,0.09057108498651077,0.0823282038504637
triton,triton_poi_fused__unsafe_view_clone_permute_view_1,triton_poi_fused__unsafe_view_clone_permute_view_1,7,520732.434,2160,241.07983055555556,230.883,320.102,0.08959600598905969,0.08144186686460983
triton,triton_poi_fused__to_copy__unsafe_view_clone_permute_view_5,triton_poi_fused__to_copy__unsafe_view_clone_permute_view_5,7,517023.723,2160,239.36283472222223,237.476,241.635,0.08895789383918794,0.08086182934864186
triton,triton_poi_fused__unsafe_view_clone_permute_view_8,triton_poi_fused__unsafe_view_clone_permute_view_8,7,516914.19,2160,239.312125,234.627,241.604,0.08893904784711362,0.08084469853169858
triton,triton_poi_fused_all_to_all_single_clone_permute_view_9,triton_poi_fused_all_to_all_single_clone_permute_view_9,7,513600.986,2160,237.77823425925925,236.036,241.091,0.08836898570762534,0.08032651778964153
triton,triton_poi_fused_all_to_all_single_clone_permute_view_6,triton_poi_fused_all_to_all_single_clone_permute_view_6,7,491896.415,2160,227.72982175925924,225.731,231.747,0.08463454793049628,0.0769319514705106
elementwise,aten::add_,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",7,476270.509,912,522.2264353070176,10.976,1840.861,0.08194599105147445,0.07448808035168011
