deviceId,num_gaps,total_gap_ms,avg_gap_ms,min_gap_ms,max_gap_ms
0,7832,427851.192338,54.6285996345761,1.002509,97686.323816
1,7487,326402.205788,43.595860262855616,1.017895,82869.182256
2,8104,333441.960306,41.145355417818365,1.043947,82869.178529
3,8632,340002.288201,39.388587604379055,1.011945,82869.182125
