deviceId,num_gaps,total_gap_ms,avg_gap_ms,min_gap_ms,max_gap_ms
0,8485,526782.805356,62.08400770253388,1.018953,112113.494089
1,8388,444274.40137700003,52.965474651525994,1.004262,112115.538339
2,8403,437619.641321,52.07897671319767,1.004331,112115.262234
3,7651,424291.569807,55.45570119030192,1.032585,112114.274352
