rank,Process Group Name,Process Group Ranks,Collective name,Group size,dtype,In msg nelems,Out msg nelems,In split size,Out split size,stream,In msg size (MB)_first,Out msg size (MB)_first,dur_sum,dur_mean,dur_std,dur_min,dur_max,operation_count
0,39,"[0, 1, 2, 3]",all_to_allv,4,BFloat16,110592000,110592000,"[27648000, 27648000, 27648000, 27648000]","[27648000, 27648000, 27648000, 27648000]",47,210.9375,210.9375,277346216.425,21400.17102044753,31767.202003018927,12307.856,3520086.104,12960
0,39,"[0, 1, 2, 3]",all_to_allv,4,BFloat16,2621440,2621440,"[655360, 655360, 655360, 655360]","[655360, 655360, 655360, 655360]",47,5.0,5.0,1468238.82,339.8700972222222,80.73377373199996,174.786,1064.399,4320
0,44,"[0, 1, 2, 3]",_allgather_base,4,Float,1382400,5529600,[],[],7,5.2734375,21.09375,1454.773,1454.773,,1454.773,1454.773,1
