Parent op category,Parent cpu_op,Kernel name,Kernel stream,Kernel duration (µs)_sum,Kernel duration (µs)_count,Kernel duration (µs)_mean,Kernel duration (µs)_min,Kernel duration (µs)_max,Percent of kernels time (%),Percent of total time (%)
CONV_fwd,aten::cudnn_convolution,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",7,787614.197,1580,498.4899981012658,4.096,3555.475,0.1216000209761381,0.11162244943526917
triton,triton_poi_fused__to_copy_0,triton_poi_fused__to_copy_0,7,762211.545,2160,352.8757152777778,350.981,357.669,0.11767809698363604,0.10802232865381031
elementwise,aten::cat,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",7,721066.476,2158,334.1364578313253,2.848,1781.146,0.11132569593179892,0.10219115724849957
triton,triton_poi_fused_all_to_all_single_clone_permute_view_9,triton_poi_fused_all_to_all_single_clone_permute_view_9,7,643802.832,2690,239.33190780669148,236.932,247.298,0.09939693592864111,0.09124118043443939
other,fuse_scale_shift_kernel_blc_opt_3,fuse_scale_shift_kernel_blc_opt,7,622209.411,2160,288.0599125,286.915,289.732,0.09606312039236961,0.08818091240868797
elementwise,aten::div,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1})",7,532497.0869999999,771,690.657700389105,6.079,2393.155,0.08221240449393832,0.07546668076132408
triton,triton_poi_fused__unsafe_view_clone_permute_view_4,triton_poi_fused__unsafe_view_clone_permute_view_4,7,528191.805,2160,244.53324305555557,235.394,304.132,0.08154771055685306,0.07485652654599884
triton,triton_poi_fused_all_to_all_single_clone_empty_like_permute_view_1,triton_poi_fused_all_to_all_single_clone_empty_like_permute_view_1,7,528150.324,2160,244.5140388888889,241.923,247.748,0.08154130629130106,0.0748506477656992
triton,triton_poi_fused__unsafe_view_clone_permute_view_1,triton_poi_fused__unsafe_view_clone_permute_view_1,7,524271.398,2160,242.7182398148148,237.378,482.247,0.080942437600562,0.07430091767837048
triton,triton_poi_fused__to_copy__unsafe_view_clone_permute_view_5,triton_poi_fused__to_copy__unsafe_view_clone_permute_view_5,7,519603.782,2160,240.55730648148148,235.843,247.108,0.08022180279525952,0.07363941267639393
