op category,Count,total_direct_kernel_time_ms,Percentage (%),Cumulative Percentage (%)
other,39245,473342.1627763672,84.57210673852289,84.57210673852289
GEMM,22098,53469.17338964844,9.553344271311778,94.12545100983466
triton,80905,20153.6431015625,3.6008540746891122,97.72630508452377
CONV_fwd,911,6777.114306640625,1.210867908234854,98.93717299275863
elementwise,33574,5749.646122070312,1.0272900319978475,99.96446302475648
reduce,726,198.897123046875,0.03553697524353576,100.00000000000001
